,Date,Actual,Predicted
0,2024-12-07,6.0,8.281405230799376
1,2024-12-08,11.0,8.873438877991804
2,2024-12-09,5.0,9.6176238706022
3,2024-12-10,2.0,11.272484833760606
4,2024-12-11,7.0,8.880417769128247
5,2024-12-12,7.0,9.948533284544494
6,2024-12-13,8.0,9.740531451593963
7,2024-12-14,11.0,9.704386242942434
8,2024-12-15,3.0,10.17210361137036
9,2024-12-16,8.0,10.75191280219556
10,2024-12-17,7.0,12.204368502040673
11,2024-12-18,4.0,9.57498983050887
12,2024-12-19,10.0,10.375065555437935
13,2024-12-20,9.0,9.87345848246881
14,2024-12-21,15.0,9.524188050787828
15,2024-12-22,7.0,9.66605725666259
16,2024-12-23,10.0,9.914686494848704
17,2024-12-24,7.0,11.038435786338873
18,2024-12-25,12.0,8.09084603347826
19,2024-12-26,2.0,8.591233962884697
20,2024-12-27,8.0,7.816279486810943
21,2024-12-28,8.0,7.227390632087528
22,2024-12-29,8.0,7.170118437507089
23,2024-12-30,9.0,7.2659906669043295
24,2024-12-31,16.0,8.28825185621342
25,2025-01-01,0.0,5.294145994860273
26,2025-01-02,9.0,5.805381596166505
27,2025-01-03,7.0,5.099622256874381
28,2025-01-04,10.0,4.637791357581223
29,2025-01-05,3.0,4.763465822546021
30,2025-01-06,1.0,5.0947292283208325
31,2025-01-07,3.0,6.399972084311702
32,2025-01-08,4.0,3.7302747257869084
33,2025-01-09,9.0,4.600010553911048
34,2025-01-10,5.0,4.27850958225548
35,2025-01-11,15.0,4.217566752408029
36,2025-01-12,5.0,4.751064804065534
37,2025-01-13,8.0,5.487076044489932
38,2025-01-14,8.0,7.1839242428374686
39,2025-01-15,10.0,4.882835019093355
40,2025-01-16,10.0,6.088805113091131
41,2025-01-17,9.0,6.062523072503099
42,2025-01-18,4.0,6.248118540866335
43,2025-01-19,0.0,6.97300299840289
44,2025-01-20,10.0,7.840159918498867
45,2025-01-21,8.0,9.604359924222438
46,2025-01-22,7.0,7.3049245820777715
47,2025-01-23,0.0,8.446665542888965
48,2025-01-24,7.0,8.291829065505498
49,2025-01-25,3.0,8.287821859943186
50,2025-01-26,2.0,8.766981166479292
51,2025-01-27,10.0,9.338748419612807
52,2025-01-28,9.0,10.765724764505206
53,2025-01-29,4.0,8.096235983300536
54,2025-01-30,9.0,8.84503860016821
55,2025-01-31,12.0,8.285003268642111
56,2025-02-01,11.0,7.874558293738169
57,2025-02-02,7.0,7.957163783440404
58,2025-02-03,25.0,8.153183811814086
59,2025-02-04,12.0,9.235643128765364
60,2025-02-05,24.0,6.262504245143864
61,2025-02-06,12.0,6.757104704926403
62,2025-02-07,16.0,5.999598234994576
