Date,Actual,Predicted
2012-04-13,351832.03,333438.28
2012-04-20,330063.06,333934.4
2012-04-27,324839.74,335035.88
2012-05-04,360932.69,335081.06
2012-05-11,333870.52,334633.47
2012-05-18,336189.66,334430.28
2012-05-25,341994.48,334832.4
2012-06-01,359867.8,334431.28
2012-06-08,341704.59,334319.0
2012-06-15,327383.64,334200.78
2012-06-22,325041.68,334011.47
2012-06-29,329658.1,333476.97
2012-07-06,341214.43,332581.53
2012-07-13,316203.64,331878.7
2012-07-20,321205.12,331937.62
2012-07-27,306827.36,332102.4
2012-08-03,324195.17,331843.56
2012-08-10,306759.7,331523.56
2012-08-17,314014.18,331083.44
2012-08-24,320831.36,331090.7
2012-08-31,344642.01,331265.6
2012-09-07,350648.91,331908.47
2012-09-14,299800.67,330583.94
2012-09-21,307306.76,332055.72
2012-09-28,310141.68,333744.72
2012-10-05,343048.29,333916.94
2012-10-12,325345.41,334764.9
2012-10-19,313358.15,336570.56
2012-10-26,319550.77,338512.88
