Date,Actual,Predicted
2011-11-18,1539483.7,1.4917512e+06
2011-11-25,2033320.66,1.4919919e+06
2011-12-02,1584083.95,1.4921899e+06
2011-12-09,1799682.38,1.4927566e+06
2011-12-16,1881176.67,1.4940229e+06
2011-12-23,2270188.99,1.4944091e+06
2011-12-30,1497462.72,1.4947228e+06
2012-01-06,1550369.92,1.4946639e+06
2012-01-13,1459601.17,1.4948251e+06
2012-01-20,1394393.84,1.4945552e+06
2012-01-27,1319325.59,1.4934052e+06
2012-02-03,1636339.65,1.4919372e+06
2012-02-10,1802477.43,1.4907081e+06
2012-02-17,1819870.0,1.4897726e+06
2012-02-24,1539387.83,1.4891715e+06
2012-03-02,1688420.76,1.4896414e+06
2012-03-09,1675431.16,1.4896075e+06
2012-03-16,1677472.78,1.4892596e+06
2012-03-23,1511068.07,1.4889275e+06
2012-03-30,1649604.63,1.4885299e+06
2012-04-06,1899676.88,1.4879516e+06
2012-04-13,1621031.7,1.4874901e+06
2012-04-20,1521577.87,1.4870152e+06
2012-04-27,1468928.37,1.4864966e+06
2012-05-04,1684519.99,1.4857241e+06
2012-05-11,1611096.05,1.4850882e+06
2012-05-18,1595901.87,1.4845221e+06
2012-05-25,1555444.55,1.4843562e+06
2012-06-01,1624477.58,1.4843664e+06
2012-06-08,1697230.96,1.4843294e+06
2012-06-15,1630607.0,1.4842815e+06
2012-06-22,1527845.81,1.4842911e+06
2012-06-29,1540421.49,1.4843739e+06
2012-07-06,1769854.16,1.4843292e+06
2012-07-13,1527014.04,1.4841719e+06
2012-07-20,1497954.76,1.483905e+06
2012-07-27,1439123.71,1.4835538e+06
2012-08-03,1631135.79,1.482913e+06
2012-08-10,1592409.97,1.4823568e+06
2012-08-17,1597868.05,1.4817886e+06
2012-08-24,1494122.38,1.4814939e+06
2012-08-31,1582083.4,1.4814404e+06
2012-09-07,1661767.33,1.4814148e+06
2012-09-14,1517428.87,1.4815428e+06
2012-09-21,1506126.06,1.4816444e+06
2012-09-28,1437059.26,1.4820132e+06
2012-10-05,1670785.97,1.4819824e+06
2012-10-12,1573072.81,1.4820362e+06
2012-10-19,1508068.77,1.481889e+06
2012-10-26,1493659.74,1.4816036e+06
