Date,Actual,Predicted
2011-11-18,1539483.7,1638421.1525099352
2011-11-25,2033320.66,1518207.05190318
2011-12-02,1584083.95,1811705.477378374
2011-12-09,1799682.38,1608275.7829302447
2011-12-16,1881176.67,1652802.9803358396
2011-12-23,2270188.99,1797399.862194798
2011-12-30,1497462.72,1937903.7173748314
2012-01-06,1550369.92,1877550.9595821844
2012-01-13,1459601.17,1789584.3121933434
2012-01-20,1394393.84,1612633.019733573
2012-01-27,1319325.59,1583718.4952360685
2012-02-03,1636339.65,1531568.338784209
2012-02-10,1802477.43,1680716.8850511773
2012-02-17,1819870.0,1650955.8809470006
2012-02-24,1539387.83,1635848.287396711
2012-03-02,1688420.76,1548224.3150524623
2012-03-09,1675431.16,1638528.196632624
2012-03-16,1677472.78,1669251.5559237376
2012-03-23,1511068.07,1585275.573990077
2012-03-30,1649604.63,1575773.0845377615
2012-04-06,1899676.88,1588768.3906451135
2012-04-13,1621031.7,1743135.0873161922
2012-04-20,1521577.87,1570061.2822616596
2012-04-27,1468928.37,1516428.6411564779
2012-05-04,1684519.99,1659228.6035911746
2012-05-11,1611096.05,1502369.831156562
2012-05-18,1595901.87,1652242.1896385807
2012-05-25,1555444.55,1604819.6782188392
2012-06-01,1624477.58,1542053.7382606266
2012-06-08,1697230.96,1595397.850740049
2012-06-15,1630607.0,1636629.963935749
2012-06-22,1527845.81,1657041.6088607428
2012-06-29,1540421.49,1582534.3810804214
2012-07-06,1769854.16,1582933.2259128075
2012-07-13,1527014.04,1701721.0959937982
2012-07-20,1497954.76,1572205.0325715884
2012-07-27,1439123.71,1513200.893989251
2012-08-03,1631135.79,1626883.8049844762
2012-08-10,1592409.97,1499412.614080021
2012-08-17,1597868.05,1608586.131799929
2012-08-24,1494122.38,1589202.1047425698
2012-08-31,1582083.4,1558850.8103438704
2012-09-07,1661767.33,1666773.334761347
2012-09-14,1517428.87,1602006.4188685669
2012-09-21,1506126.06,1571610.4487478014
2012-09-28,1437059.26,1593228.8649935029
2012-10-05,1670785.97,1540228.650624523
2012-10-12,1573072.81,1603742.5463819187
2012-10-19,1508068.77,1584952.2576765101
2012-10-26,1493659.74,1460063.4759444548
