Date,Actual,Predicted
2012-04-13,1935869.1,1.824317e+06
2012-04-20,1847344.45,1.8234584e+06
2012-04-27,1764133.09,1.821927e+06
2012-05-04,1923957.09,1.822949e+06
2012-05-11,1917520.99,1.8255261e+06
2012-05-18,2000940.67,1.8268214e+06
2012-05-25,1912791.09,1.828219e+06
2012-06-01,1910092.37,1.8328566e+06
2012-06-08,2010216.49,1.8321231e+06
2012-06-15,1962924.3,1.8301239e+06
2012-06-22,1887733.21,1.8324658e+06
2012-06-29,1881046.12,1.8328119e+06
2012-07-06,2041507.4,1.8289609e+06
2012-07-13,1830075.13,1.8319106e+06
2012-07-20,1819666.46,1.8360661e+06
2012-07-27,1757923.88,1.8331631e+06
2012-08-03,1946104.64,1.8362292e+06
2012-08-10,1866719.96,1.8380034e+06
2012-08-17,1928016.01,1.8414011e+06
2012-08-24,1876788.15,1.8389891e+06
2012-08-31,1947083.3,1.8398642e+06
2012-09-07,1898777.07,1.8420695e+06
2012-09-14,1814806.63,1.8363959e+06
2012-09-21,1829415.67,1.8766752e+06
2012-09-28,1746470.56,1.948339e+06
2012-10-05,1998321.04,1.937879e+06
2012-10-12,1900745.13,1.9145801e+06
2012-10-19,1847990.41,1.9091272e+06
2012-10-26,1834458.35,1.9163108e+06
